Problema,Título,Data,Link
vazia,Mogiano que foi embora para a Espanha em 2001 está assustado com o coronavírus: 'prateleiras dos supermercados estão vazias',13/03/2020 19:25,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2020/03/13/mogiano-que-foi-embora-para-a-espanha-em-2001-esta-assustado-com-o-coronavirus-prateleiras-dos-supermercados-estao-vazias.ghtml
aumento,"Cesta básica tem aumento de 4,75% e passa a custar R$ 640,27 em Presidente Prudente",09/03/2020 21:13,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2020/03/09/cesta-basica-tem-aumento-de-475percent-e-passa-a-custar-r-64027-em-presidente-prudente.ghtml
aumento,Prefeito de Ipatinga decide fechar o comércio com o aumento do número de casos suspeitos de coronavírus,19/03/2020 18:59,https://g1.globo.com/mg/vales-mg/noticia/2020/03/19/prefeito-de-ipatinga-decide-fechar-o-comercio-com-o-aumento-do-numero-de-casos-suspeitos.ghtml
limitam,"Coronavírus: Após aumento de movimento, mercados criam horário para idosos e limitam compras em SP",18/03/2020 21:12,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/18/coronavirus-apos-aumento-de-movimento-mercados-criam-horario-para-idosos-e-limitam-compras-em-sp.ghtml
corrida,Corrida por álcool em gel faz com que produto se esgote em comércio de Palmas,20/03/2020 12:03,https://g1.globo.com/to/tocantins/noticia/2020/03/20/corrida-por-alcool-em-gel-faz-com-que-produto-se-esgote-em-comercio-de-palmas.ghtml
desabastecimento,Coronavírus e desabastecimento: veja perguntas e respostas sobre a questão dos alimentos no Brasil,23/03/2020 11:12,https://g1.globo.com/economia/noticia/2020/03/20/coronavirus-e-desabastecimento-veja-perguntas-e-respostas-sobre-a-questao-dos-alimentos-no-brasil.ghtml
corrida,"Com operação normal, Ceagesp de Ribeirão Preto afasta necessidade de 'corrida' aos mercados",20/03/2020 15:24,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2020/03/20/com-operacao-normal-ceagesp-de-ribeirao-preto-afasta-necessidade-de-corrida-aos-mercados.ghtml
aumento,Procon Carioca notifica empresas por aumento abusivo de produtos por conta do coronavírus,24/03/2020 11:32,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/03/24/procon-carioca-notifica-empresas-por-aumento-abusivo-de-produtos-por-conta-do-coronavirus.ghtml
corrida,"Praias e mercados cheios, corrida por álcool em gel: veja ações criticadas em meio ao coronavírus",15/03/2020 19:48,https://g1.globo.com/globonews/noticia/2020/03/15/praia-e-mercados-cheios-corrida-por-alcool-em-gel-veja-acoes-criticadas-por-especialistas-sobre-o-coronavirus.ghtml
vazia,Coronavírus: consumidores deixam prateleiras vazias no Reino Unido e Austrália,09/03/2020 21:09,https://g1.globo.com/jornal-nacional/noticia/2020/03/09/coronavirus-consumidores-deixam-prateleiras-vazias-no-reino-unido-e-australia.ghtml
desabastecimento,"Coronavírus: Acic sugere turnos alternados, cautela para evitar desabastecimento e projeta redução de até 20% nas vendas",17/03/2020 15:10,https://g1.globo.com/sp/campinas-regiao/noticia/2020/03/17/coronavirus-acic-sugere-turnos-alternados-cautela-para-evitar-desabastecimento-e-projeta-reducao-de-ate-20percent-nas-vendas.ghtml
aumento,Procon-RJ identifica aumento de preço de álcool gel em até 119% e 527% em máscaras em lojas do RJ,26/03/2020 15:12,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/03/26/procon-rj-identifica-aumento-de-preco-de-alcool-gel-em-ate-119percent-e-527percent-em-mascaras-em-lojas-do-rj.ghtml
