Periodo,Problema,Título,Data,Link
22/09/2025,tumulto,VÍDEO: Boi invade supermercado e causa tumulto em MG: 'Correu atrás do açougueiro',25/10/2025 05:01,https://g1.globo.com/mg/triangulo-mineiro/noticia/2025/10/25/video-boi-invade-supermercado-e-causa-tumulto-em-mg-correu-atras-do-acougueiro.ghtml
22/09/2025,produto,Produtos natalinos têm variação de até 1000% de um supermercado para outro em Maceió,27/09/2025 21:48,https://g1.globo.com/al/alagoas/arquivo/noticia/2018/12/14/produtos-natalinos-tem-variacao-de-ate-1000-de-um-supermercado-para-outro-em-maceio.ghtml
22/09/2025,interditado,"Supermercado é interditado pela Vigilância Sanitária após flagrante de irregularidades em Pouso Alegre, MG",13/12/2025 11:57,https://g1.globo.com/mg/sul-de-minas/noticia/2025/08/27/supermercado-e-interditado-pela-vigilancia-sanitaria-apos-flagrante-de-irregularidades-em-pouso-alegre-mg.ghtml
22/09/2025,prateleira,Cliente flagra rato comendo achocolatado em prateleira de supermercado no litoral de SP; VÍDEO,13/12/2025 05:56,https://g1.globo.com/sp/santos-regiao/noticia/2025/06/06/cliente-flagra-rato-comendo-achocolatado-em-prateleira-de-supermercado-no-litoral-de-sp-video.ghtml
22/09/2025,alimento,"Vigilância Sanitária apreende 160 kg de alimentos estragados em supermercado na Ponta Verde, Maceió",28/09/2025 11:56,https://g1.globo.com/al/alagoas/arquivo/noticia/2024/01/24/vigilancia-sanitaria-apreende-160-kg-de-alimentos-estragados-em-supermercado-na-ponta-verde-maceio.ghtml
22/09/2025,produto,Operação descarta mais de 600kg de alimentos e produtos vencidos em supermercado de MT,13/11/2025 16:20,https://g1.globo.com/mt/mato-grosso/noticia/2025/11/13/operacao-descarta-mais-de-600kg-de-alimentos-e-produtos-vencidos-em-supermercado-de-mt.ghtml
22/09/2025,alagamento,Chuva causa rompimento de duto em estacionamento de supermercado e alagamentos em Jaú; vídeo,13/12/2025 01:04,https://g1.globo.com/sp/bauru-marilia/noticia/2025/02/01/chuva-causa-rompimento-de-duto-em-estacionamento-de-supermercado-e-alagamentos-em-jau-video.ghtml
22/12/2025,termina,'Furada' de fila em açougue de supermercado termina em pancadaria generalizada em SP; VÍDEO,28/12/2025 06:18,https://g1.globo.com/sp/santos-regiao/noticia/2025/12/28/furada-de-fila-em-acougue-de-supermercado-termina-em-pancadaria-generalizada-em-sp-video.ghtml
22/12/2025,acaba,Advogada é presa em flagrante por furto de champanhe francês em supermercado de Copacabana,30/12/2025 19:43,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/12/30/advogada-e-presa-em-flagrante-por-furto-de-champanhe-frances-em-supermercado-de-copacabana.ghtml
22/12/2025,produto,"Homem é preso após invadir supermercado, furtar mercadorias e revender os produtos em Imperatriz",30/12/2025 07:57,https://g1.globo.com/ma/maranhao/noticia/2025/12/30/homem-e-preso-apos-invadir-supermercado-furtar-mercadorias-e-revender-os-produtos-em-imperatriz.ghtml
22/12/2025,quantidade,Mais esquecidos: quantidade de itens deixados em estações e trens da ViaMobilidade cresce 21% em 2025,25/12/2025 05:00,https://g1.globo.com/sp/sao-paulo/noticia/2025/12/25/mais-esquecidos-quantidade-de-itens-deixados-em-estacoes-e-trens-da-viamobilidade-cresce-21percent-em-2025.ghtml
22/12/2025,preço,Variação de preços na ceia de Natal chega a 175% em Imperatriz e passa de 100% em São Luís,23/12/2025 10:54,https://g1.globo.com/ma/maranhao/noticia/2025/12/23/variacao-de-precos-na-ceia-de-natal-chega-a-175percent-em-imperatriz-e-passa-de-100percent-em-sao-luis.ghtml
22/12/2025,termina,"Estacionamento irregular termina em confusão entre casal e policiais, resistência à abordagem e suspeita de embriaguez ao volante",29/12/2025 18:25,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2025/12/29/estacionamento-irregular-termina-em-confusao-entre-casal-e-policiais-resistencia-a-abordagem-e-suspeita-de-embriaguez-ao-volante.ghtml
