Periodo,Problema,Título,Data,Link
28/06/2021,interditada,Sete balanças de pesagem são interditadas em supermercados de João Pessoa em operação,13/08/2021 14:52,https://g1.globo.com/pb/paraiba/noticia/2021/08/13/sete-balancas-de-pesagem-sao-interditadas-em-supermercados-de-joao-pessoa-em-operacao.ghtml
28/06/2021,limitar,Supermercados são notificados pelo Procon por limitarem compra de carnes e enlatados em Fortaleza,19/08/2021 20:34,https://g1.globo.com/ce/ceara/noticia/2021/08/19/mercados-sao-notificados-pelo-procon-por-limitarem-compra-de-carnes-e-enlatados-em-fortaleza.ghtml
28/06/2021,preço,"Confira supermercados de Fortaleza com os preços mais baixos de arroz, feijão, carne e ovos",01/09/2021 16:05,https://g1.globo.com/ce/ceara/noticia/2021/09/01/confira-supermercados-de-fortaleza-com-os-precos-mais-baixos-de-arroz-feijao-carne-e-ovos.ghtml
28/06/2021,produto,"Mais de 3,2 mil produtos vencidos são apreendidos em supermercados; alguns venceram há mais de um ano",10/09/2021 17:48,https://g1.globo.com/to/tocantins/noticia/2021/09/10/mais-de-32-mil-produtos-vencidos-sao-apreendidos-em-supermercados-alguns-venceram-ha-mais-de-um-ano.ghtml
28/06/2021,preço,Preço do tomate tem variação de 100% e chega a quase R$ 7 nos supermercados de Palmas,25/07/2021 16:43,https://g1.globo.com/to/tocantins/noticia/2021/07/25/preco-do-tomate-tem-variacao-de-100percent-e-chega-a-quase-r-7-nos-supermercados-de-palmas.ghtml
28/06/2021,preço,"Influenciado por seca, preço do café sobe nos supermercados e pode ter mais reajustes em Ribeirão Preto",08/08/2021 17:59,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/08/08/influenciado-por-seca-preco-do-cafe-sobe-nos-supermercados-e-pode-ter-mais-reajustes-em-ribeirao-preto.ghtml
28/06/2021,preço,"Preços de frutas e legumes podem variar até 207% em supermercados de Fortaleza, aponta pesquisa do Procon",27/07/2021 19:09,https://g1.globo.com/ce/ceara/noticia/2021/07/27/precos-de-frutas-e-legumes-podem-variar-ate-207percent-em-supermercados-de-fortaleza-aponta-pesquisa-do-procon.ghtml
28/06/2021,aumento,Consumidores do Alto Tietê usam estratégias para driblar aumentos para manter consumo de carnes,26/08/2021 16:01,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2021/08/26/consumidores-do-alto-tiete-usam-estrategias-para-driblar-aumentos-para-manter-consumo-de-carnes.ghtml
28/06/2021,alimento,Mais de 400 kg de alimentos são confiscados durante ação de vistoria do Procon em Juiz de Fora; sete supermercados foram autuados,20/09/2021 16:56,https://g1.globo.com/mg/zona-da-mata/noticia/2021/09/20/mais-de-400-kg-de-alimentos-sao-confiscados-durante-acao-de-vistoria-do-procon-em-juiz-de-fora-sete-supermercados-foram-autuados.ghtml
28/06/2021,preço,"Preços nos supermercados de Fortaleza variam até 216% em agosto; esponja de aço, cenoura e laranja estão no topo da lista",31/08/2021 21:49,https://g1.globo.com/ce/ceara/noticia/2021/08/31/precos-nos-supermercados-de-fortaleza-variam-ate-216percent-esponja-de-aco-cenoura-e-laranja-estao-no-topo-da-lista.ghtml
28/06/2021,preço,Alta nos preços faz consumidores do Alto Tietê procurarem alternativas para manter a alimentação,08/09/2021 11:28,https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2021/09/08/alta-nos-precos-faz-consumidores-do-alto-tiete-procurarem-alternativas-para-manter-a-alimentacao.ghtml
28/06/2021,alimento,TV Integração arrecada alimentos e agasalhos no Circuito Junino 2021 em Juiz de Fora; veja onde doar,28/06/2021 17:31,https://g1.globo.com/mg/zona-da-mata/noticia/2021/06/28/tv-integracao-arrecada-alimentos-e-agasalhos-no-circuito-junino-2021-m-juiz-de-fora-veja-onde-doar.ghtml
28/06/2021,produto,Feira livre com produtos da agricultura familiar é inaugurada no Centro Político Administrativo em Cuiabá,16/09/2021 14:53,https://g1.globo.com/mt/mato-grosso/noticia/2021/09/16/feira-livre-com-produtos-da-agricultura-familiar-e-inaugurada-no-centro-politico-administrativo-em-cuiaba.ghtml
28/06/2021,alimento,"Com campanha para arrecadar doações de alimentos não perecíveis, PRF divulga novos pontos de coleta",18/07/2021 19:13,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2021/07/18/prf-lanca-campanha-para-arrecadar-doacoes-de-alimentos-nao-pereciveis-em-ms.ghtml
27/09/2021,compra,"Do supermercado à cafeteria, saiba como usar pontos nas suas compras",28/10/2021 18:16,https://g1.globo.com/sp/especial-publicitario/livelo/noticia/2021/10/28/do-supermercado-a-cafeteria-saiba-como-usar-pontos-nas-suas-compras.ghtml
27/09/2021,compra,"Do supermercado à cafeteria, saiba como usar pontos nas suas compras",28/10/2021 18:20,https://g1.globo.com/rs/rio-grande-do-sul/especial-publicitario/livelo/noticia/2021/10/28/do-supermercado-a-cafeteria-saiba-como-usar-pontos-nas-suas-compras.ghtml
27/09/2021,compra,"Do supermercado à cafeteria, saiba como usar pontos nas suas compras",28/10/2021 18:23,https://g1.globo.com/pe/pernambuco/especial-publicitario/livelo/noticia/2021/10/28/do-supermercado-a-cafeteria-saiba-como-usar-pontos-nas-suas-compras.ghtml
27/09/2021,compra,"Do supermercado à cafeteria, saiba como usar pontos nas suas compras",28/10/2021 18:19,https://g1.globo.com/rj/rio-de-janeiro/especial-publicitario/livelo/noticia/2021/10/28/do-supermercado-a-cafeteria-saiba-como-usar-pontos-nas-suas-compras.ghtml
27/09/2021,compra,"Do supermercado à cafeteria, saiba como usar pontos nas suas compras",28/10/2021 18:21,https://g1.globo.com/ba/bahia/especial-publicitario/livelo/noticia/2021/10/28/do-supermercado-a-cafeteria-saiba-como-usar-pontos-nas-suas-compras.ghtml
27/09/2021,limitar,Justiça proíbe supermercado de limitar ida de funcionários ao banheiro em MT,02/12/2021 15:01,https://g1.globo.com/mt/mato-grosso/noticia/2021/12/02/justica-proibe-supermercado-de-limitar-ida-de-funcionarios-ao-banheiro-em-mt.ghtml
27/09/2021,alimento,Procon apreende alimentos vencidos em supermercado e loja de conveniência em Uberaba,29/09/2021 13:09,https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/09/28/procon-apreende-alimentos-vencidos-em-supermercado-e-loja-de-conveniencia-em-uberaba.ghtml
27/09/2021,compra,Globo Comunidade: consumidora dá dicas de como economizar com as compras do supermercado,10/11/2021 15:34,https://g1.globo.com/rj/rio-de-janeiro/noticia/2021/11/07/globo-comunidade-consumidora-da-dicas-de-como-economizar-com-as-compras-do-supermercado.ghtml
27/09/2021,abastecimento,É #FAKE que medidas de isolamento social provocaram desabastecimento em supermercado na Bélgica,13/10/2021 16:06,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2021/10/13/e-fake-que-medidas-de-isolamento-social-provocaram-desabastecimento-em-supermercado-na-belgica.ghtml
27/09/2021,chuva,VÍDEO: telhado de supermercado desaba durante chuva e ventos fortes em Monte Carmelo,30/09/2021 19:32,https://g1.globo.com/mg/triangulo-mineiro/noticia/2021/09/30/video-telhado-de-supermercado-desaba-durante-chuva-e-ventos-fortes-em-monte-carmelo.ghtml
27/09/2021,alimento,Mais de 500 quilos de alimentos vencidos são apreendidos em supermercado de Manaus,09/11/2021 18:34,https://g1.globo.com/am/amazonas/noticia/2021/11/09/mais-de-500-quilos-de-alimentos-vencidos-sao-apreendidos-em-supermercado-de-manaus.ghtml
27/09/2021,produto,VÍDEO: Homem furta produtos de supermercado duas vezes em um dia em Garanhuns,02/12/2021 09:31,https://g1.globo.com/pe/caruaru-regiao/noticia/2021/12/02/video-homem-furta-produtos-de-supermercado-duas-vezes-em-um-dia-em-garanhuns.ghtml
27/09/2021,produto,Procon apreende 169 Kg de produtos fora da validade em supermercado de Manaus,15/12/2021 14:07,https://g1.globo.com/am/amazonas/noticia/2021/12/14/procon-apreende-169-kg-de-produtos-fora-da-validade-em-supermercado-de-manaus.ghtml
